,age,class_of_worker,detailed_industry_recode,detailed_occupation_recode,education,wage_per_hour,enroll_in_edu_inst_last_wk,marital_stat,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_a_labor_union,reason_for_unemployment,full_or_part_time_employment_stat,capital_gains,capital_losses,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,state_of_previous_residence,detailed_household_and_family_stat,detailed_household_summary_in_household,instance_weight,migration_code_change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,live_in_this_house_1_year_ago,migration_prev_res_in_sunbelt,num_persons_worked_for_employer,family_members_under_18,country_of_birth_father,country_of_birth_mother,country_of_birth_self,citizenship,own_business_or_self_employed,fill_inc_questionnaire_for_veteran's_admin,veterans_benefits,weeks_worked_in_year,year,income_gt_50k,dataset_partition
0,90,not_in_universe,0,0,2,0,not_in_universe,widowed,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,2016.05,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,italy,italy,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,2,0,training_set
1,16,not_in_universe,0,0,5,0,high_school,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,2549.18,?,?,?,not_in_universe_under_1_year_old,?,1,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,4,2,0,training_set
2,14,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1741.52,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
3,35,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,997.08,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
4,37,private,1,44,2,0,not_in_universe,married-civilian_spouse_present,agriculture,farming_forestry_and_fishing,white,mexican_(mexicano),male,not_in_universe,other_job_loser,children_or_armed_forces,0,0,0,joint_both_under_65,west,california,householder,householder,4049.49,msa_to_msa,same_county,same_county,no,yes,2,not_in_universe,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,28,1,0,training_set
5,23,not_in_universe,0,0,7,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,nonfiler,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,2085.76,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,2,0,training_set
6,12,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,mexican-american,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,864.95,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,mexico,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
7,28,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,central_or_south_american,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,923.5,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,el-salvador,el-salvador,el-salvador,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,0,1,0,training_set
8,81,not_in_universe,0,0,9,0,not_in_universe,widowed,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,nonfamily_householder,householder,1787.34,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,yugoslavia,yugoslavia,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
9,75,not_in_universe,0,0,9,0,not_in_universe,widowed,not_in_universe_or_children,not_in_universe,asian_or_pacific_islander,all_other,female,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,nonfiler,not_in_universe,not_in_universe,other_rel_18+_ever_marr_not_in_subfamily,other_relative_of_householder,2747.07,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,japan,japan,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,2,0,training_set
10,43,private,24,37,13,0,not_in_universe,never_married,manufacturing-nondurable_goods,machine_operators_assmblrs_&_inspctrs,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,4211.02,?,?,?,not_in_universe_under_1_year_old,?,5,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
11,24,local_government,40,12,10,850,college_or_university,never_married,entertainment,professional_specialty,white,all_other,male,no,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,3081.95,?,?,?,not_in_universe_under_1_year_old,?,4,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,40,2,0,training_set
12,6,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1872.98,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
13,27,private,34,26,9,0,not_in_universe,married-civilian_spouse_present,finance_insurance_and_real_estate,adm_support_including_clerical,asian_or_pacific_islander,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,222.71,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,philippines,philippines,philippines,foreign_born-_not_a_citizen_of_u_s,no,not_in_universe,no,52,2,0,training_set
14,2,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1826.99,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
15,38,self-employed-not_incorporated,37,35,9,0,not_in_universe,never_married,business_and_repair_services,precision_production_craft_&_repair,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,2202,0,0,single,not_in_universe,not_in_universe,secondary_individual,nonrelative_of_householder,3221.72,?,?,?,not_in_universe_under_1_year_old,?,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
